№;id объявления;id лота;id пункта плана;Вид предмета закупок;Код товара, работы, услуги (в соответствии с КТРУ);Наименование закупаемых товаров, работ, услуг на государственном языке (в соответствии с КТРУ);Дополнительная характеристика;Краткая техническая характеристика;Количество, объём;Цена за единицу, тенге;Сумма, утвержденная  для закупки, тенге;Цена (без НДС) по договору, тенге;Сумма  (без НДС), договору тенге;Сумма (без НДС), оплачен поставщику тенге;Начало приема заявок;Окончание приема заявок;Планируемый срок осуществления поставки;Способ закупки;Статус лота;Сумма по договору факт;Экономия;Сумма оплаты поставщику
419;4625951-1;31647604-ЗЦП3;;Товар;172314.500.000001;Бумага для офисного оборудования;бумага формата А3;формат А3;10;2313;23130;;;;2020-07-13 16:15:00;2020-07-20 16:15:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
420;4624167-1;31809069-ОИ3;;Запрос ценовых предложений;262030.100.000030;Уничтожитель бумаги и дисков;Уничтожитель бумаги и дисков, степень секретности 6;степень секретности 6;1;722656.25;722656.25;;;;2020-07-13 12:08:07;2020-07-18 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
421;4605177-1;31810820-ОИ3;;Запрос ценовых предложений;329916.300.000014;Печать;Печать гербовая;для документов;1;8000;8000;;;;2020-07-08 12:09:38;2020-07-13 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
422;4597105-1;35678659-ЗЦП2;;Товар;266013.000.000003;Облучатель;Ультрафиолетовая камера УФК-1;бактерицидный, ультрафиолетовое излучение;1;176785.71;176785.71;;;;2020-07-07 10:00:00;2020-07-14 10:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
423;4591306-1;31809069-ЗЦП2;;Товар;262030.100.000030;Уничтожитель бумаги и дисков;Уничтожитель бумаги и дисков, степень секретности 6;степень секретности 6;1;722656.25;722656.25;;;;2020-07-03 12:00:00;2020-07-13 12:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
424;4585732-1;31647604-ЗЦП2;;Товар;172314.500.000001;Бумага для офисного оборудования;бумага формата А3;формат А3;10;2313;23130;;;;2020-07-02 12:00:00;2020-07-10 12:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
425;4575749-1;35678659-ЗЦП1;;Товар;266013.000.000003;Облучатель;Ультрафиолетовая камера УФК-1;бактерицидный, ультрафиолетовое излучение;1;176785.71;176785.71;;;;2020-07-01 09:00:00;2020-07-03 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
426;4574151-1;31810820-ЗЦП2;;Товар;329916.300.000014;Печать;Печать гербовая;для документов;1;8000;8000;;;;2020-06-30 12:00:30;2020-07-08 12:00:40;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
427;4571416-1;35268816-ОИ2;;Запрос ценовых предложений;329916.300.000014;Печать;Штамп (печать для входящей, исходящей корреспонденции);для документов;2;9500;19000;;;;2020-06-30 09:00:00;2020-06-30 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
428;4566755-1;31809069-ЗЦП1;;Товар;262030.100.000030;Уничтожитель бумаги и дисков;Уничтожитель бумаги и дисков, степень секретности 6;степень секретности 6;1;722656.25;722656.25;;;;2020-06-30 09:00:00;2020-07-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
429;4566705-1;33864604-ЗЦП1;;Товар;262011.100.000001;Ноутбук;Ноутбук;среднего класса;1;542982.14;542982.14;;;;2020-06-30 09:00:00;2020-07-02 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
430;4566550-1;31667930-ОК1;;Товар;263021.900.000010;Аппарат телефонный;Цифровой телефонный аппарат 4223,трехстрочный дисплей,поддержка Option Unit;шнуровой;200;144885.71;28977142;;;;2020-07-23 16:16:25;2020-07-28 16:16:25;15 календарных дней с момента подачи заявки Заказчиком;Открытый конкурс;Закупка состоялась;;;
431;4562027-1;34960129-ОИ4;;Конкурс с применением специального порядка;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 1000 мб; блок из IP адресов 32)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;45300000;45300000;;;;2020-06-29 09:00:00;2020-06-29 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
432;4560029-1;35678614-ЗЦП1;;Товар;262013.000.000011;Компьютер;компьютер в комплекте;офисный (универсальный);7;407142.86;2850000.02;;;;2020-06-29 09:00:00;2020-07-01 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
433;4559843-1;31647604-ЗЦП1;;Товар;172314.500.000001;Бумага для офисного оборудования;бумага формата А3;формат А3;10;2313;23130;;;;2020-06-29 09:00:00;2020-07-01 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
434;4550174-1;34960103-КСП3;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 1600 мб; блок из IP адресов 8/8/16)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;28727200;28727200;;;;2020-06-25 09:00:00;2020-06-25 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка состоялась;;;
435;4550174-1;31595165-КСП3;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 932 мб; блок из IP адресов 219)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;24578156.25;24578156.25;;;;2020-06-25 09:00:00;2020-06-25 18:00:00;В течение 2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка состоялась;;;
436;4550174-1;34960129-КСП3;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 1000 мб; блок из IP адресов 32)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;45300000;45300000;;;;2020-06-25 09:00:00;2020-06-25 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка не состоялась;;;
437;4550174-1;31831404-КСП3;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 864 мб; блок из IP адресов 149)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;29040000;29040000;;;;2020-06-25 09:00:00;2020-06-25 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка состоялась;;;
438;4548818-1;35268816-ЗЦП1;;Товар;329916.300.000014;Печать;Штамп (печать для входящей, исходящей корреспонденции);для документов;2;9500;19000;;;;2020-06-25 09:00:00;2020-06-29 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
439;4548818-1;31810820-ЗЦП1;;Товар;329916.300.000014;Печать;Печать гербовая;для документов;1;8000;8000;;;;2020-06-25 09:00:00;2020-06-29 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
440;4543817-1;31667930-ЗЦП1;;Товар;263021.900.000010;Аппарат телефонный;Цифровой телефонный аппарат 4223,трехстрочный дисплей,поддержка Option Unit;шнуровой;200;144885.71;28977142;;;;2020-06-24 09:00:00;2020-06-26 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
441;4511311-1;34960103-КСП2;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 1600 мб; блок из IP адресов 8/8/16)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;28727200;28727200;;;;2020-06-18 09:00:00;2020-06-22 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка не состоялась;;;
442;4511311-1;31595165-КСП2;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 932 мб; блок из IP адресов 219)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;24578156.25;24578156.25;;;;2020-06-18 09:00:00;2020-06-22 18:00:00;В течение 2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка не состоялась;;;
443;4511311-1;34960129-КСП2;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 1000 мб; блок из IP адресов 32)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;45300000;45300000;;;;2020-06-18 09:00:00;2020-06-22 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка не состоялась;;;
444;4511311-1;31831404-КСП2;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 864 мб; блок из IP адресов 149)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;29040000;29040000;;;;2020-06-18 09:00:00;2020-06-22 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка не состоялась;;;
445;4496920-1;33867993-ОИ3;;Запрос ценовых предложений;620129.000.000001;Программное обеспечение;1С Бухгалтерия для государственного предприятия - клиентская лицензия;сервисный пакет обновлений;1;194400;194400;;;;2020-06-15 16:06:28;2020-06-20 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
446;4477170-1;31787016-ЗЦП3;;Товар;273213.700.000222;Кабель;Кабель коаксильный RG - 6;марка RG, напряжение не более 1 000 В;1000;140;140000;;;;2020-06-11 12:00:00;2020-06-18 12:00:00;февраль;Запрос ценовых предложений;Закупка состоялась;;;
447;4477170-1;31797212-ЗЦП3;;Товар;271240.900.000007;Коннектор;Коннектор RJ45;серии RJ;5000;41.07;205350;;;;2020-06-11 12:00:00;2020-06-18 12:00:00;февраль;Запрос ценовых предложений;Закупка состоялась;;;
448;4477170-1;31784315-ЗЦП3;;Товар;263060.000.000008;Коннектор;F-разъем RG 6 резьбовой;для подключений коаксиальных кабелей;500;120;60000;;;;2020-06-11 12:00:00;2020-06-18 12:00:00;февраль;Запрос ценовых предложений;Закупка состоялась;;;
449;4465149-1;35268735-ОИ2;;Запрос ценовых предложений;841212.025.000000;Услуги по проведению полемеразных цепных реакции;Услуги по проведению ПЦР-анализа на КВИ;Диагностика инфекционных заболеваний (ПЦР);1;1875000;1875000;;;;2020-06-09 18:11:35;2020-06-14 18:00:00;в течение года;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
450;4462632-1;33868113-ЗЦП2;;Товар;172312.300.000001;Конверт;Конверт, бумажный, А5;бумажный;100;15.18;1518;;;;2020-06-09 15:15:15;2020-06-16 15:15:15;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
451;4462494-1;35268816-ЗЦП2;;Товар;329916.300.000014;Печать;Штамп (печать для входящей, исходящей корреспонденции);для документов;2;7000;14000;;;;2020-06-09 15:05:00;2020-06-16 15:05:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
452;4462494-1;31810820-ЗЦП2;;Товар;329916.300.000014;Печать;Печать гербовая;для документов;1;3500;3500;;;;2020-06-09 15:05:00;2020-06-16 15:05:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
453;4462410-1;31829072-ЗЦП2;;Товар;172312.300.000001;Конверт;Конверт, бумажный, А5 кравт;бумажный;10;17.86;178.6;;;;2020-06-09 15:00:00;2020-06-16 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Отказ от лота;;;
454;4462410-1;31828115-ЗЦП2;;Товар;172312.300.000001;Конверт;Конверт, бумажный, А4 кравт;бумажный;30;35.71;1071.3;;;;2020-06-09 15:00:00;2020-06-16 15:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
455;4458756-1;31718589-ОИ3;;Запрос ценовых предложений;262040.000.000107;Шнур питания;Коммутационный шнур 110-45;для оборудования/периферийных устройств и приборов, кабель электрический соединительный;100;1348.21;134821;;;;2020-06-09 09:46:15;2020-06-14 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
456;4456844-1;33868140-ОИ2;;Запрос ценовых предложений;172312.300.000001;Конверт;Конверт, бумажный, А4;бумажный;500;66.96;33480;;;;2020-06-09 09:00:00;2020-06-09 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
457;4452408-1;34960299-ОИ2;;Запрос ценовых предложений;620129.000.000001;Программное обеспечение;"ПО ""АВС-4""";сервисный пакет обновлений;1;196429;196429;;;;2020-06-08 12:31:51;2020-06-13 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка не состоялась;;;
458;4450523-1;31809069-ЗЦП5;;Товар;262030.100.000030;Уничтожитель бумаги и дисков;Уничтожитель бумаги и дисков, степень секретности 6;степень секретности 6;1;99018;99018;;;;2020-06-08 11:00:00;2020-06-15 11:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
459;4450450-1;35267972-ЗЦП2;;Товар;262030.300.000001;KVM-переключатель;KVM-переключатель;порты USB/DVI с количеством подключений более 1 компьютера, но не более 4 компьютеров;80;18928.5;1514280;;;;2020-06-08 11:00:00;2020-06-15 11:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
460;4442261-1;31797212-ЗЦП2;;Товар;271240.900.000007;Коннектор;Коннектор RJ45;серии RJ;5000;41.07;205350;;;;2020-06-08 09:00:00;2020-06-10 18:00:00;февраль;Запрос ценовых предложений;Закупка не состоялась;;;
461;4442261-1;31784315-ЗЦП2;;Товар;263060.000.000008;Коннектор;F-разъем RG 6 резьбовой;для подключений коаксиальных кабелей;500;120;60000;;;;2020-06-08 09:00:00;2020-06-10 18:00:00;февраль;Запрос ценовых предложений;Закупка не состоялась;;;
462;4442261-1;31787016-ЗЦП2;;Товар;273213.700.000222;Кабель;Кабель коаксильный RG - 6;марка RG, напряжение не более 1 000 В;1000;140;140000;;;;2020-06-08 09:00:00;2020-06-10 18:00:00;февраль;Запрос ценовых предложений;Закупка не состоялась;;;
463;4441655-1;35269103-ЗЦП2;;Товар;141230.100.000016;Перчатки;Перчатки для защиты рук;для защиты рук, нитриловые;22900;60;1374000;;;;2020-06-05 10:00:00;2020-06-12 10:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
464;4435313-1;33867993-ЗЦП2;;Товар;620129.000.000001;Программное обеспечение;1С Бухгалтерия для государственного предприятия - клиентская лицензия;сервисный пакет обновлений;1;194400;194400;;;;2020-06-08 16:00:00;2020-06-15 16:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
465;4434023-1;34960103-КСП1;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 1600 мб; блок из IP адресов 8/8/16)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;28727200;28727200;;;;2020-06-05 09:00:00;2020-06-09 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка не состоялась;;;
466;4434023-1;31595165-КСП1;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 932 мб; блок из IP адресов 219)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;24578156.25;24578156.25;;;;2020-06-05 09:00:00;2020-06-09 18:00:00;В течение 2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка не состоялась;;;
467;4434023-1;34960129-КСП1;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 1000 мб; блок из IP адресов 32)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;45300000;45300000;;;;2020-06-05 09:00:00;2020-06-09 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка не состоялась;;;
468;4434023-1;31831404-КСП1;;Услуга;611043.100.000000;Услуги по доступу к Интернету;"Услуги доступа к сети Интернет, широкополосный по сетям проводным (пропускная способность 864 мб; блок из IP адресов 149)";Услуги, направленные на предоставление доступа к Интернету широкополосному по сетям проводным;1;29040000;29040000;;;;2020-06-05 09:00:00;2020-06-09 18:00:00;В течение2-ого полугодия 2020 года, ежемесячно;Конкурс с применением специального порядка;Закупка не состоялась;;;
469;4426073-1;33864604-ЗЦП5;;Товар;262011.100.000001;Ноутбук;Ноутбук;среднего класса;1;287000;287000;;;;2020-06-04 09:00:00;2020-06-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
470;4425824-1;31829072-ЗЦП1;;Товар;172312.300.000001;Конверт;Конверт, бумажный, А5 кравт;бумажный;10;17.86;178.6;;;;2020-06-04 09:00:00;2020-06-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Отказ от лота;;;
471;4425824-1;31828115-ЗЦП1;;Товар;172312.300.000001;Конверт;Конверт, бумажный, А4 кравт;бумажный;30;35.71;1071.3;;;;2020-06-04 09:00:00;2020-06-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
472;4425349-1;35268816-ЗЦП1;;Товар;329916.300.000014;Печать;Штамп (печать для входящей, исходящей корреспонденции);для документов;2;7000;14000;;;;2020-06-04 09:00:00;2020-06-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
473;4425349-1;31810820-ЗЦП1;;Товар;329916.300.000014;Печать;Печать гербовая;для документов;1;3500;3500;;;;2020-06-04 09:00:00;2020-06-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
474;4423337-1;33868140-ЗЦП1;;Товар;172312.300.000001;Конверт;Конверт, бумажный, А4;бумажный;500;66.96;33480;;;;2020-06-04 09:00:00;2020-06-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
475;4423337-1;33868113-ЗЦП1;;Товар;172312.300.000001;Конверт;Конверт, бумажный, А5;бумажный;100;15.18;1518;;;;2020-06-04 09:00:00;2020-06-08 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
476;4421857-1;35268735-ЗЦП1;;Услуга;841212.025.000000;Услуги по проведению полемеразных цепных реакции;Услуги по проведению ПЦР-анализа на КВИ;Диагностика инфекционных заболеваний (ПЦР);1;1875000;1875000;;;;2020-06-02 18:00:00;2020-06-09 18:00:00;в течение года;Запрос ценовых предложений;Закупка не состоялась;;;
477;4417323-1;35267972-ЗЦП1;;Товар;262030.300.000001;KVM-переключатель;KVM-переключатель;порты USB/DVI с количеством подключений более 1 компьютера, но не более 4 компьютеров;80;18928.5;1514280;;;;2020-06-03 09:00:00;2020-06-05 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
478;4417052-1;31809069-ЗЦП4;;Товар;262030.100.000030;Уничтожитель бумаги и дисков;Уничтожитель бумаги и дисков, степень секретности 6;степень секретности 6;1;99018;99018;;;;2020-06-03 09:00:00;2020-06-05 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
479;4416707-1;31751864-ЗЦП2;;Товар;222129.700.000033;Хомут (стяжка);Хомуты пластиковые (штрапсы) (300мм);монтажный, из пластика;1000;12.5;12500;;;;2020-06-02 09:40:00;2020-06-09 09:40:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
480;4416707-1;31716672-ЗЦП2;;Товар;222129.700.000035;Хомут (стяжка);Хомуты пластиковые (штрапсы) 300мм 100 шт. в упаковке;крепежный, из пластика;5;843;4215;;;;2020-06-02 09:40:00;2020-06-09 09:40:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
481;4416707-1;31764841-ЗЦП2;;Товар;222129.700.000033;Хомут (стяжка);Хомут пластиковый (300мм);монтажный, из пластика;20;12.5;250;;;;2020-06-02 09:40:00;2020-06-09 09:40:00;февраль;Запрос ценовых предложений;Отказ от лота;;;
482;4416707-1;31685617-ЗЦП2;;Товар;273111.300.000006;Кабель оптико-волоконный;Кабель оптический SM 16 одномодовый;16 волокон;1000;476.16;476160;;;;2020-06-02 09:40:00;2020-06-09 09:40:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
483;4416707-1;31716996-ЗЦП2;;Товар;222129.700.000035;Хомут (стяжка);Хомуты пластиковые (штрапсы) 200мм 100 шт. в упаковке;крепежный, из пластика;10;375;3750;;;;2020-06-02 09:40:00;2020-06-09 09:40:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
484;4416707-1;31718589-ЗЦП2;;Товар;262040.000.000107;Шнур питания;Коммутационный шнур 110-45;для оборудования/периферийных устройств и приборов, кабель электрический соединительный;100;1348.21;134821;;;;2020-06-02 09:40:00;2020-06-09 09:40:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
485;4416707-1;31758775-ЗЦП2;;Товар;272011.900.000000;Батарейка;Батарейки 9V Крона;тип крона;20;656.25;13125;;;;2020-06-02 09:40:00;2020-06-09 09:40:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
486;4416707-1;31722109-ЗЦП2;;Товар;259411.900.000048;Шуруп с плоской головкой;Шуруп-саморез;стальной, диаметр 3,5 мм;1000;5.36;5360;;;;2020-06-02 09:40:00;2020-06-09 09:40:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
487;4414488-1;35269103-ЗЦП1;;Товар;141230.100.000016;Перчатки;Перчатки для защиты рук;для защиты рук, нитриловые;22900;60;1374000;;;;2020-06-02 09:00:00;2020-06-04 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
488;4407984-1;33867993-ЗЦП1;;Товар;620129.000.000001;Программное обеспечение;1С Бухгалтерия для государственного предприятия - клиентская лицензия;сервисный пакет обновлений;1;194400;194400;;;;2020-06-01 09:00:00;2020-06-03 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
489;4407969-1;34960299-ЗЦП1;;Товар;620129.000.000001;Программное обеспечение;"ПО ""АВС-4""";сервисный пакет обновлений;1;196429;196429;;;;2020-06-01 09:00:00;2020-06-08 09:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
490;4401894-1;31671643-ЗЦП2;;Товар;151212.900.000032;Сумка;Сумка для инструментов;для рабочего инструмента, из пластмассы;10;20000;200000;;;;2020-05-29 12:00:00;2020-06-05 12:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
491;4401709-1;34365413-ЗЦП2;;Товар;263021.200.000007;Коммутатор сетевой;хаб (8-ми портовый);неуправляемый, симметричный;14;6300;88200;;;;2020-05-29 12:00:00;2020-06-05 12:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка состоялась;;;
492;4401709-1;34365433-ЗЦП2;;Товар;222314.700.000000;Кабель-канал;Кабельный канал напольный 92*20;напольный;26;3021;78546;;;;2020-05-29 12:00:00;2020-06-05 12:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
493;4401709-1;34365428-ЗЦП2;;Товар;222314.700.000000;Кабель-канал;Кабельный канал напольный 75*20;напольный;36;1688;60768;;;;2020-05-29 12:00:00;2020-06-05 12:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
494;4401709-1;34365420-ЗЦП2;;Товар;222314.700.000000;Кабель-канал;Кабельный канал напольный 50*12;напольный;24;1058;25392;;;;2020-05-29 12:00:00;2020-06-05 12:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
495;4399168-1;31671481-ОИ3;;Запрос ценовых предложений;310012.500.000005;Диван;"Диван; Длина мебели Не менее 1910 мм; Ширина мебели Не менее 830 мм; Высота мебели Не менее 600 мм; Количество посадочных мест - Не менее 3; Материал мебели обивка – велюр; Наполнитель мебели -поролон/синтепон/синтепух; Цвет по согласованию с Заказчиком; Жесткость спинки мягкая; Жесткость сиденья мягкая; Наличие ножек -Да; Количество ножек Не менее 4; Материал ножки -Дерево ; Количество подушек не менее 4; Цвет подушек по согласованию с Заказчиком; Подлокотники - да; Дизайн/Экскиз -по согласованию с Заказчиком";офисный, каркас деревянный, обивка из кожи, не трансформируемый;1;200000;200000;;;;2020-05-29 09:00:00;2020-05-29 18:00:00;в течении 20 (двадцати) календарных дней с момента подачи заявки Заказчиком;Из одного источника по несостоявшимся закупкам;Закупка состоялась;;;
496;4385004-1;31685617-ЗЦП1;;Товар;273111.300.000006;Кабель оптико-волоконный;Кабель оптический SM 16 одномодовый;16 волокон;1000;476.16;476160;;;;2020-05-28 09:00:00;2020-06-01 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
497;4385004-1;31716996-ЗЦП1;;Товар;222129.700.000035;Хомут (стяжка);Хомуты пластиковые (штрапсы) 200мм 100 шт. в упаковке;крепежный, из пластика;10;375;3750;;;;2020-05-28 09:00:00;2020-06-01 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
498;4385004-1;31718589-ЗЦП1;;Товар;262040.000.000107;Шнур питания;Коммутационный шнур 110-45;для оборудования/периферийных устройств и приборов, кабель электрический соединительный;100;1348.21;134821;;;;2020-05-28 09:00:00;2020-06-01 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
499;4385004-1;31751864-ЗЦП1;;Товар;222129.700.000033;Хомут (стяжка);Хомуты пластиковые (штрапсы) (300мм);монтажный, из пластика;1000;12.5;12500;;;;2020-05-28 09:00:00;2020-06-01 18:00:00;15 календарных дней с момента подачи заявки Заказчиком;Запрос ценовых предложений;Закупка не состоялась;;;
